Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Focal adhesion,36/201,6.84407382744187e-05,0.0018821585081787,0,0,2.191066267809157,21.011322705070512,LAMA5;ITGB5;PIK3R2;ELK1;ACTB;MYL12B;ACTG1;IGF1R;CDC42;MAPK9;PAK1;CCND2;AKT2;CAPN2;FLNA;PIP5K1C;RAC1;PAK4;VASP;PDGFRB;LAMB2;ACTN4;RHOA;DIAPH1;COL1A2;ITGA10;ITGA11;COL6A1;ITGA8;ITGA7;GRB2;COL6A6;TLN1;RAF1;DOCK1;BCAR1
KEGG_2021_Human,Prion disease,45/273,7.50321334474605e-05,0.0018821585081787,0,0,1.985079360396507,18.853478001916763,RYR1;NOTCH1;PSMD14;NDUFB5;ATP5MC3;PIK3R2;KLC1;NDUFC2-KCTD14;PSMD8;MAPK9;PPP3R1;PPP3CB;ATP5F1A;PSMB4;PSMD7;TUBA1A;PSMB5;PSMB2;PSMB3;KIF5A;PSMD1;RAC1;NDUFA9;EGR1;NDUFA7;ATP5PD;ATP5PB;NDUFC2;NDUFC1;HSPA2;ATP5F1C;SDHB;PSMA5;SEM1;PSMA6;COX7A2L;PSMA3;TUBB2B;PSMA4;PSMC6;PSMA1;PSMA2;NDUFAB1;VDAC1;UQCRC2
KEGG_2021_Human,Human papillomavirus infection,52/331,7.970052314763282e-05,0.0018821585081787,0,0,1.8765952039501157,17.70986882903627,WNT2B;ITGB5;CHD4;IKBKB;CCND2;PPP2R1B;HEY1;AKT2;HEY2;ATP6V1E1;PDGFRB;ATP6V1G1;ATP6V1G2;AXIN1;SCRIB;TSC1;TYK2;PARD3;COL6A1;ATP6V1B2;ITGA8;ITGA7;COL6A6;RAF1;LLGL1;LLGL2;NOTCH2;NOTCH3;LAMA5;NOTCH1;HDAC1;WNT8A;PIK3R2;PTGS2;RELA;CDC42;WNT6;DVL1;DVL2;ATP6V1D;CREBBP;LAMB2;FZD9;FZD8;WNT7A;NFKB1;COL1A2;DLG3;PPP2R2B;ITGA10;ITGA11;GRB2
KEGG_2021_Human,C-type lectin receptor signaling pathway,22/104,0.00015220744651899158,0.0033376918629521,0,0,2.685747837002443,23.60843840070233,EGR2;EGR3;FCER1G;KSR1;NFATC3;PIK3R2;PTGS2;NFKB1;RHOA;RELA;NFATC4;RELB;NFKBIA;IKBKB;MAPK9;PPP3R1;PPP3CB;PAK1;MRAS;AKT2;RAF1;CALM1
KEGG_2021_Human,Regulation of actin cytoskeleton,37/218,0.0001724322689497738,0.003529113771172,0,0,2.052184046961326,17.783213258992603,ITGB5;ARPC5L;CXCR4;BRK1;PIK3R2;ACTB;MYL12B;ACTG1;FGD3;CDC42;PAK1;TMSB4X;TMSB4Y;PIP5K1C;RAC1;GIT1;PAK4;PDGFRB;ARPC4;ACTN4;SSH3;RHOA;SSH1;FGF17;DIAPH1;MRAS;DIAPH3;ABI2;ITGA10;ITGA11;ITGA8;ITGA7;RAF1;FGFR4;DOCK1;BCAR1;PFN2
KEGG_2021_Human,Nucleotide excision repair,13/47,0.0002168417262169261,0.0041606506217872,0,0,3.8186868359678674,32.215751357578576,CCNH;RFC2;CETN2;XPA;RPA1;GTF2H1;GTF2H5;DDB1;CDK7;RPA3;POLE3;ERCC6;POLE
KEGG_2021_Human,Axon guidance,32/182,0.000239364853511716,0.0043226476487115,0,0,2.1393878686700054,17.83719253660326,CXCR4;PIK3R2;NTN1;MYL12B;CDC42;PPP3R1;PPP3CB;PAK1;ABL1;PLXNA1;PLCG1;RAC1;NEO1;PLXNA3;PAK4;SEMA6C;NTNG2;UNC5A;UNC5B;TRPC1;NFATC3;UNC5D;L1CAM;SSH3;RHOA;NFATC4;SSH1;SMO;PARD3;PLXNB2;PLXNB1;RAF1
KEGG_2021_Human,Salmonella infection,40/249,0.0003171724852833491,0.0054095529434437,0,0,1.921578171762044,15.48035829775162,DCTN6;DCTN2;ARPC5L;BRK1;SNX33;KLC1;ACTB;RELA;MYL12B;ACTG1;DYNC2LI1;IKBKB;CDC42;FYCO1;MAPK9;PAK1;TUBA1A;AKT2;KIF5A;FLNA;RAC1;S100A10;ANXA2;DYNLT3;ARPC4;DYNLL2;RHOA;NFKB1;DNM2;NFKBIA;TUBB2B;TLR9;PLEKHM1;RAB9A;PLEKHM2;TLR5;RAF1;ACTR10;PFN2;RAB7A
KEGG_2021_Human,Neurotrophin signaling pathway,23/119,0.0004390036170445775,0.006782561086001,0,0,2.397823228128461,18.537578343875925,YWHAE;BEX3;MAP3K3;BDNF;PSEN2;GAB1;PIK3R2;NFKB1;RHOA;RELA;NFKBIA;IKBKB;CDC42;MAPK9;IRAK2;AKT2;ABL1;GRB2;PLCG1;RAC1;RAF1;CALM1;NFKBIE
KEGG_2021_Human,Basal cell carcinoma,15/63,0.0004418606570684729,0.006782561086001,0,0,3.122071389195149,24.116490339945628,WNT2B;GADD45A;PTCH2;AXIN1;WNT8A;FZD9;FZD8;WNT7A;GLI1;KIF7;WNT6;SMO;SUFU;DVL1;DVL2
