Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Extracellular Matrix Organization (GO:0030198),0.44241083911690277,1.9046232164971404,0.0,0.07551604185832567,0.47,67/137,24.17%,MIA;ADAMTS2;COL27A1;COL5A3;COL10A1;ADAMTS7;SERPINF2;COL1A2;SCX;TMPRSS6;COL24A1;PLG;PLOD3;COL22A1;MMP23B;COL11A1;HPSE2;ECM2;SERPINH1;COL8A2;ADAMTS19;COL9A1;SPINT1;COLGALT1;COL5A1;SH3PXD2B;ADAMTS17;ELN;HMCN1;NPNT;COL11A2;TGFB1;COL4A3;ADAMTS10;COL23A1;LAMC1;LUM;NOXO1;POSTN;COL8A1;LOXL1;NID1;ADAM8;COL1A1;ADAMTS13;COL3A1;COL5A2;GREM1;COL15A1;WASHC1;ADAMTS14;FURIN;CTSS;TGFB2;SMOC1;RECK;KLK7;DDR2;ADAMTS1;FLRT2;HAS2;THSD4;KLK5;SMOC2;ADAMTS16;ATP7A;COL16A1
prerank,Embryonic Digit Morphogenesis (GO:0042733),0.6944258864393217,1.9042822036547982,0.00392156862745098,0.06970711556153139,0.47,10/16,19.93%,TBX3;WNT7A;MSX1;SALL1;NOG;TBX2;MAP3K20;ECE1;HDAC1;GLI3
prerank,Mitochondrial Cytochrome C Oxidase Assembly (GO:0033617),-0.6592666876476241,-1.9025304385805728,0.0,0.0400372446142384,0.662,14/21,21.86%,UQCC6;COX18;UQCC5;COA3;COA1;COX16;PET117;TMEM223;PET100;SCO1;COX19;SURF1;COA8;COX17
prerank,Regulation Of Biomineral Tissue Development (GO:0070167),0.6334919726877539,1.8905135544453031,0.0,0.07932834472335391,0.546,13/23,21.42%,CYP27B1;NOTUM;NOTCH1;HEY2;ROCK1;FBXO5;TGFB1;CEBPB;S1PR1;SOX9;ANKH;DDR2;NOS3
prerank,Transport Across Blood-Brain Barrier (GO:0150104),0.47655015887016083,1.8900230891587089,0.0,0.07464543084943269,0.548,41/76,31.55%,ABCC2;ABCC3;SLC38A2;SLC5A3;SLC6A9;SLC7A2;SLC6A20;SLC16A12;ATP1A4;SLC19A1;SLC1A3;ATP1A2;SLC15A2;SLCO3A1;SLC6A6;ABCB1;ATP2A3;SLC24A3;SLC5A5;SLC2A10;SLC29A2;SLC44A1;SLC12A2;SLCO2B1;SLC2A4;INSR;SLC6A13;SLC7A1;ABCC5;SLC5A6;SLC8A2;ABCC1;SLC27A1;SLC2A1;KCNJ8;SLC22A3;SLC7A5;SLC7A3;SLC4A3;ABCC9;SLC22A5
prerank,Negative Regulation Of miRNA Transcription (GO:1902894),0.6539057222059417,1.8898352053957745,0.0037735849056603774,0.07026398631554738,0.55,13/20,25.03%,NFATC4;RELA;PPARA;ESR1;TGFB1;REST;NFATC3;NCOR2;NFIB;SOX9;POU5F1;NCOR1;PPARD
prerank,Toll-Like Receptor Signaling Pathway (GO:0002224),0.599492596479844,1.8807236284510644,0.00411522633744856,0.0749482520699172,0.6,12/28,19.32%,TLR8;TLR9;TLR5;IRAK3;IRAK2;TLR4;TLR7;TLR6;TLR3;PLCG2;CTSS;MAPKAPK2
prerank,Vascular Transport (GO:0010232),0.4775776752859514,1.8801226731074423,0.0,0.07116298681386078,0.6,41/75,31.55%,ABCC2;ABCC3;SLC38A2;SLC5A3;SLC6A9;SLC7A2;SLC6A20;SLC16A12;ATP1A4;SLC19A1;SLC1A3;ATP1A2;SLC15A2;SLCO3A1;SLC6A6;ABCB1;ATP2A3;SLC24A3;SLC5A5;SLC2A10;SLC29A2;SLC44A1;SLC12A2;SLCO2B1;SLC2A4;INSR;SLC6A13;SLC7A1;ABCC5;SLC5A6;SLC8A2;ABCC1;SLC27A1;SLC2A1;KCNJ8;SLC22A3;SLC7A5;SLC7A3;SLC4A3;ABCC9;SLC22A5
prerank,Wnt Signaling Pathway (GO:0016055),0.49360760522050234,1.8701321568939775,0.0,0.07793661937733017,0.652,25/66,16.62%,FZD9;FZD8;WNT6;WNT7A;WNT2;BCL9L;FZD1;WNT16;RARG;WNT9B;WNT2B;DVL1;FRZB;TCF7;JUP;FZD7;TCF7L1;DVL2;LEF1;CELSR2;WNT9A;NID1;FZD2;NXN;LRRK2
prerank,Chordate Embryonic Development (GO:0043009),0.5229303589964097,1.8651651369272064,0.0,0.07790075896964122,0.672,22/49,20.19%,FLCN;MYH6;FOXF1;CHD7;GRHL2;NOG;HES5;IGF2;ZNF358;TGFB1;DVL1;SIX4;PTCH1;TBX1;XYLT1;PKD1;COL1A1;FGFR1;TGFB3;SOX8;HINFP;PCSK5
prerank,Regulation Of Neuroinflammatory Response (GO:0150077),-0.6924467233016621,-1.8589513436931597,0.0,0.06431304179379146,0.81,7/15,11.61%,PTGS2;IL1B;SPHK1;IGF1;CD200R1;IL6;TNF
prerank,Potassium Ion Import Across Plasma Membrane (GO:1990573),0.5412011312490421,1.8567411285649589,0.0,0.08392473824856529,0.716,18/38,19.22%,KCNJ15;KCNJ16;KCNJ10;FXYD2;SLC12A7;ATP1A4;ATP4A;HCN2;SLC12A4;ATP1A2;KCNJ2;KCNJ13;KCNJ14;KCNJ6;SLC12A9;HCN4;SLC12A2;KCNK9
prerank,Neutrophil Migration (GO:1990266),-0.5323290212169232,-1.8489903417073055,0.0,0.068906830493348,0.83,12/47,3.41%,CCL4L1;CXCL11;CXCL9;CCL3;CCL19;CXCL10;CCL2;TREM1;CXCL2;CXCL5;CCL4;CCL3L1
prerank,Digestive Tract Development (GO:0048565),0.5822783612895631,1.8481365442301119,0.003816793893129771,0.09002049008948733,0.758,17/30,20.19%,GLI1;FOXF1;CCDC40;STRA6;SALL1;ZIC3;SMO;GLI2;COBL;PKDCC;NIPBL;PKD1;EPHB3;EDNRB;TGFB2;GLI3;PCSK5
prerank,Antibacterial Humoral Response (GO:0019731),-0.6565159455750115,-1.8453832252532687,0.0,0.0690683308773168,0.842,9/19,9.36%,JCHAIN;F3;SLPI;RNASE3;RNASE2;WFDC2;SFTPD;HLA-A;WFDC3
prerank,I-kappaB kinase/NF-kappaB Signaling (GO:0007249),0.5241595315229053,1.841104479774002,0.004166666666666667,0.09321627134914603,0.778,16/42,18.31%,TLR8;TLR9;IRAK2;CARD11;RELA;TLR4;IKBKB;ROCK1;TRIM8;TLR7;NFKBIA;NFKB1;NFKB2;REL;TLR3;TIFA
prerank,Mitochondrial Gene Expression (GO:0140053),-0.44778351794057153,-1.835628569248174,0.0,0.07517108781092509,0.862,57/101,34.30%,MRPS16;MRPL55;NDUFA7;MRPS30;MRPS23;MRPL30;MRPL1;MRPL28;MRPS28;MRPS18A;MRPL13;MRPS9;MRPL47;MRPL24;MRPL17;MRPS18B;MRPL14;MRPL58;FASTKD2;MRPS17;MRPL40;MRPL22;MRPS21;MRPL54;MRPL57;MRPL2;RARS2;MRPS33;MRPL12;MRPL9;MRPL20;MRPL53;MRPS7;MRPS10;MRPS27;MRPS25;MRPS22;MRPL50;MRPL52;MRPL51;MRPL42;MRPL39;MRPL21;MRPS12;MRPS11;MRPL45;MRPS24;GATB;SLC25A33;MRPL11;MTERF3;MRPS34;CHCHD1;MRPL46;MRPL44;MRPS14;MRPL35
prerank,Heart Morphogenesis (GO:0003007),0.5135827056734764,1.832058516732472,0.0,0.09851152828886844,0.806,26/49,23.00%,TBX3;TCAP;CHD7;NOTCH1;HEY2;NOG;TH;BMPR1A;EPHB4;APC;TBX1;NIPBL;TTN;TBX2;TAFAZZIN;RYR2;HEYL;SOX9;TGFB2;TBX19;ENG;NOS3;FLRT2;INSR;VEGFA;MDM4
prerank,Positive Regulation Of Biomineral Tissue Development (GO:0070169),0.547872370224667,1.831918205169964,0.0,0.09466191352345907,0.806,11/35,11.37%,P2RX7;FZD9;WNT6;CYP27B1;ADGRV1;FBXO5;PKDCC;RXRA;BMPR1A;TMEM119;CEBPB
prerank,Response To Type II Interferon (GO:0034341),-0.5191853667023654,-1.827812424384676,0.0,0.07944552221586004,0.876,12/51,7.59%,CCL4L1;CCL3;CCL19;CCL2;CCL4;CCL3L1;SLC11A1;AIF1;STAT1;IFITM1;CITED1;CCL5
prerank,Regulation Of Anoikis (GO:2000209),0.6391887108953133,1.8227386602153832,0.012244897959183673,0.10202745736324394,0.838,6/19,10.06%,SNAI2;ITGA5;ITGB1;NOTCH1;PIK3CA;SIK1
prerank,Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379),0.5313077732378257,1.8210481185586882,0.0,0.10026747078265019,0.84,16/42,15.07%,CD177;SLC5A3;FPR2;PDGFRB;AGTR1;TLR4;AKR1C3;ZC3H12A;ADGRB1;TGFB1;TLR6;TGFBR2;ITGAM;ITGB2;GRIN1;AKR1C1
prerank,Positive Regulation Of DNA Replication (GO:0045740),0.6566214885225747,1.8173546704313484,0.0,0.10057990537521357,0.856,9/17,14.31%,GLI1;EGFR;DNA2;GLI2;BRPF3;CTC1;BCAR3;EGF;BAZ1A
